日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-11-23,京都,5,メイクデビュー京都,2歳新馬,,1800,芝,良,晴,コンゴウフジ,武豊,牡2,56.0,9,5,12.7,7,1:48.9,35.0,1.1,478,初出走,0,,福永祐一,キングヘイロー,中央,条件・未勝利
2025-11-23,東京,2,2歳未勝利,2歳未勝利牝,,1800,芝,良,曇,エコロセレナ,斎藤新,牝2,55.0,18,14,39.0,5,1:48.0,35.5,0.8,470,-4,560000,,斎藤誠,アドマイヤムーン,中央,条件・未勝利
2025-11-23,東京,2,2歳未勝利,2歳未勝利牝,,1800,芝,良,曇,ボーントゥラブユー,三浦皇成,牝2,55.0,18,7,321.7,12,1:48.4,34.8,1.2,470,6,0,,小笠倫弘,Street Cry,中央,条件・未勝利
2025-11-24,東京,11,東スポ杯2歳S,2歳OP,GII,1800,芝,良,晴,テルヒコウ,坂井瑠星,牡2,56.0,12,7,18.6,4,1:46.4,33.9,0.4,486,0,5700000,105,矢作芳人,ヴィクトワールピサ,中央,重賞
2025-11-24,東京,2,2歳未勝利,2歳未勝利,,1400,芝,良,晴,アリアス,菅原明良,牝2,55.0,18,11,135.4,5,1:22.1,34.5,0.8,428,12,560000,,高柳瑞樹,シンボリクリスエス,中央,条件・未勝利
2025-11-29,京都,11,京都2歳S,2歳OP,GIII,2000,芝,良,晴,ゴーイントゥスカイ,荻野極,牡2,56.0,11,3,6.2,3,2:00.6,35.2,0.2,496,8,8356000,109,上原佑紀,Tapit,中央,重賞
2025-11-29,京都,11,京都2歳S,2歳OP,GIII,2000,芝,良,晴,ネッタイヤライ,松山弘平,牡2,56.0,11,11,51.5,4,2:00.8,36.0,0.4,438,-10,5000000,106,矢作芳人,キンシャサノキセキ,中央,重賞
2025-11-29,京都,11,京都2歳S,2歳OP,GIII,2000,芝,良,晴,フリーガー,坂井瑠星,牡2,56.0,11,8,24.0,8,2:01.2,35.5,0.8,446,0,0,101,矢作芳人,Ghostzapper,中央,重賞
2025-11-30,京都,2,2歳未勝利,2歳未勝利,,1800,芝,良,晴,チェリヴェント,吉村誠之助,牡2,55.0,13,5,19.1,6,1:47.7,36.1,1.3,498,-2,0,,清水久詞,Successful Appeal,中央,条件・未勝利
2025-11-30,京都,6,メイクデビュー京都,2歳新馬,,2000,芝,良,晴,ショウナンアンバー,吉村誠之助,牡2,55.0,9,5,8.2,3,2:03.2,35.7,1.1,466,初出走,1900000,,清水久詞,フジキセキ,中央,条件・未勝利
2025-11-30,京都,6,メイクデビュー京都,2歳新馬,,2000,芝,良,晴,ポッドリプル,菱田裕二,牡2,56.0,9,3,5.5,4,2:03.4,35.7,1.1,472,初出走,1100000,,辻野泰之,Charm Spirit,中央,条件・未勝利
2025-11-30,京都,9,白菊賞,2歳1勝牝,,1600,芝,良,晴,バースデイフライト,和田竜二,牝2,55.0,11,7,22.8,3,1:34.2,34.7,0.6,452,-6,2833000,,新谷功一,War Front,中央,条件・未勝利
2025-11-30,京都,9,白菊賞,2歳1勝牝,,1600,芝,良,晴,コニーアイランド,西村淳也,牝2,55.0,11,3,4.0,4,1:34.2,34.8,0.6,480,10,1700000,,中内田充正,All American,中央,条件・未勝利
2025-12-06,中山,2,2歳未勝利,2歳未勝利牝,,1800,ダート,良,晴,ルージュアリスタ,T.マーカンド,牝2,55.0,13,1,2.2,5,1:57.0,40.4,0.6,494,-2,560000,,宮田敬介,Afleet Alex,中央,条件・未勝利
2025-12-06,中山,3,2歳未勝利,2歳未勝利,,1600,芝,良,晴,エコロセレナ,鮫島克駿,牝2,55.0,15,5,18.5,9,1:36.1,34.3,0.7,470,0,0,,斎藤誠,アドマイヤムーン,中央,条件・未勝利
2025-12-06,中山,5,メイクデビュー中山,2歳新馬,,2000,芝,良,晴,エースフライト,戸崎圭太,牡2,56.0,18,2,2.8,4,2:01.6,35.1,0.5,512,初出走,1100000,,池江泰寿,Bellamy Road,中央,条件・未勝利
2025-12-06,中山,9,葉牡丹賞,2歳1勝,,2000,芝,良,晴,ヴァロンブローサ,T.マーカンド,牡2,56.0,11,5,17.3,5,1:58.9,34.7,0.7,458,-4,1110000,,池添学,Galileo,中央,条件・未勝利
2025-12-06,阪神,3,2歳未勝利,2歳未勝利牝,,1600,芝,良,晴,オーロラボレアリス,西村淳也,牝2,55.0,17,8,24.6,6,1:34.5,33.9,0.9,472,14,0,,吉岡辰弥,To Honor and Serve,中央,条件・未勝利
2025-12-06,阪神,5,メイクデビュー阪神,2歳新馬,,2000,芝,良,晴,ドンテスタマスター,坂井瑠星,牡2,56.0,10,3,5.5,2,2:04.5,34.1,0.1,524,初出走,3000000,,杉山晴紀,Intikhab,中央,条件・未勝利
2025-12-07,ウッドバイン,4,Maiden Optional Claiming,2yo Maiden,,1710,AW,Fast,雪,Grand Warrior,Eswan Flores,牡2,,6,4,,6,1:49.64,41.3,2.1,,,0,,K Atterd,アグネスデジタル,海外,条件・未勝利
2025-12-07,阪神,3,2歳未勝利,2歳未勝利,,1400,芝,良,晴,ゴッドアイ,鮫島克駿,牝2,55.0,18,7,19.2,3,1:20.8,35.1,0.6,428,-2,1400000,,橋口慎介,アドマイヤムーン,中央,条件・未勝利
2025-12-07,阪神,5,メイクデビュー阪神,2歳新馬,,1600,芝,良,晴,アンソニー,M.デムーロ,牡2,56.0,17,2,4.4,1,1:36.2,33.3,0.0,502,初出走,7500000,,武幸四郎,ヨハネスブルグ,中央,条件・未勝利
2025-12-07,阪神,5,メイクデビュー阪神,2歳新馬,,1600,芝,良,晴,アスクブームキセキ,西塚洸二,牡2,55.0,17,3,6.6,5,1:36.8,34.0,0.6,460,初出走,750000,,藤原英昭,フジキセキ,中央,条件・未勝利
2025-12-07,阪神,5,メイクデビュー阪神,2歳新馬,,1600,芝,良,晴,クールマイユール,北村友一,牡2,56.0,17,5,12.4,13,1:37.2,34.2,1.0,464,初出走,0,,福永祐一,Epaulette,中央,条件・未勝利
2025-12-13,中京,4,2歳未勝利,2歳未勝利,,1600,芝,良,曇,ムスクレスト,武豊,牡2,56.0,13,2,3.4,4,1:34.9,34.2,0.6,460,-10,840000,,安田翔伍,Temple City,中央,条件・未勝利
2025-12-13,中京,4,2歳未勝利,2歳未勝利,,1600,芝,良,曇,ライトフライヤー,斎藤新,牡2,56.0,13,7,17.1,6,1:35.1,34.9,0.8,486,0,0,,吉岡辰弥,Pivotal,中央,条件・未勝利
2025-12-13,中京,5,メイクデビュー中京,2歳新馬,,2000,芝,良,曇,フウセン,武豊,牡2,56.0,12,4,8.7,3,2:01.7,33.4,0.3,462,初出走,1900000,,杉山晴紀,Afleet Alex,中央,条件・未勝利
2025-12-13,阪神,2,2歳未勝利,2歳未勝利,,1800,ダート,良,晴,スカイストライプス,C.デムーロ,牡2,56.0,10,2,2.6,1,1:53.7,36.9,-1.4,494,6,5600000,,安田翔伍,Equal Stripes,中央,条件・未勝利
2025-12-13,阪神,5,メイクデビュー阪神,2歳新馬,,1800,芝,良,晴,サガルマータ,川田将雅,牡2,56.0,7,3,4.1,3,1:49.2,33.6,0.3,462,初出走,1900000,,福永祐一,City Banker,中央,条件・未勝利
2025-12-13,阪神,5,メイクデビュー阪神,2歳新馬,,1800,芝,良,晴,ノートルダム,坂井瑠星,牝2,55.0,7,4,9.9,6,1:50.9,35.5,2.0,442,初出走,0,,矢作芳人,Sea The Stars,中央,条件・未勝利
2025-12-13,阪神,9,エリカ賞,2歳1勝,,2000,芝,良,晴,フリーガー,坂井瑠星,牡2,56.0,9,5,19.3,8,2:03.7,34.5,1.8,446,0,0,,矢作芳人,Ghostzapper,中央,条件・未勝利
2025-12-14,中京,4,2歳未勝利,2歳未勝利,,2000,芝,稍重,曇,マーゴットガイア,小崎綾也,牝2,55.0,13,5,14.5,2,2:02.1,35.6,0.1,484,-6,2200000,,石坂公一,Camelot,中央,条件・未勝利
2025-12-14,中山,2,2歳未勝利,2歳未勝利,,1200,芝,良,雨,アリアス,菅原明良,牝2,55.0,16,6,19.5,5,1:10.8,35.3,0.7,428,0,560000,,高柳瑞樹,シンボリクリスエス,中央,条件・未勝利
2025-12-14,阪神,3,2歳未勝利,2歳未勝利,,1800,芝,稍重,晴,ヒメヒオウギ,古川吉洋,牝2,55.0,11,3,10.3,10,1:48.3,37.1,1.9,410,14,0,,中竹和也,ステイゴールド,中央,条件・未勝利
2025-12-20,中京,4,2歳未勝利,2歳未勝利牝,,1600,芝,稍重,曇,メイワメジェール,吉田隼人,牝2,55.0,16,8,16.9,6,1:35.8,35.8,0.5,466,4,0,,茶木太樹,Oflee Wild,中央,条件・未勝利
2025-12-20,中京,5,2歳未勝利,2歳未勝利,,2000,芝,稍重,曇,ポッドリプル,菱田裕二,牡2,56.0,18,7,25.9,7,2:03.0,35.8,0.5,472,0,0,,辻野泰之,Charm Spirit,中央,条件・未勝利
2025-12-20,中山,5,メイクデビュー中山,2歳新馬,,2000,芝,良,曇,オートカリテ,木幡巧也,牝2,55.0,17,13,143.1,7,2:03.4,36.1,1.6,510,初出走,0,,牧光二,Quality Road,中央,条件・未勝利
2025-12-20,中山,9,ひいらぎ賞,2歳1勝,,1600,芝,良,曇,バースデイフライト,A.プーシャン,牝2,55.0,12,7,23.9,6,1:34.1,35.3,1.2,456,4,0,,新谷功一,War Front,中央,条件・未勝利
2025-12-20,阪神,2,2歳未勝利,2歳未勝利,,2000,芝,良,晴,アスピラシオン,岩田康誠,牡2,56.0,16,8,132.0,11,2:02.6,35.5,1.9,490,0,0,,上村洋行,Van Nistelrooy,中央,条件・未勝利
2025-12-20,阪神,2,2歳未勝利,2歳未勝利,,2000,芝,良,晴,ショウナンアンバー,吉村誠之助,牡2,56.0,16,6,67.0,14,2:02.8,36.0,2.1,452,-14,0,,清水久詞,フジキセキ,中央,条件・未勝利
2025-12-20,阪神,3,2歳未勝利,2歳未勝利,,1600,芝,良,晴,アスクブームキセキ,吉村誠之助,牡2,56.0,18,7,20.9,5,1:34.0,34.4,0.4,456,-4,560000,,藤原英昭,フジキセキ,中央,条件・未勝利
2025-12-20,阪神,5,メイクデビュー阪神,2歳新馬牝,,1600,芝,良,晴,アグレイビューティ,岩田康誠,牝2,55.0,18,9,28.5,7,1:35.9,33.4,0.4,470,初出走,0,,上村洋行,Mastercraftsman,中央,条件・未勝利
2025-12-21,阪神,3,2歳未勝利,2歳未勝利牝,,1800,芝,稍重,雨,スウィーティーベル,北村友一,牝2,55.0,18,12,71.0,8,1:48.2,34.2,0.7,406,-2,0,,田中克典,Star Dabbler,中央,条件・未勝利
2025-12-21,阪神,3,2歳未勝利,2歳未勝利牝,,1800,芝,稍重,雨,マリノエステーラ,池添謙一,牝2,55.0,18,16,419.4,16,1:49.3,35.5,1.8,440,-12,0,,中竹和也,First Samurai,中央,条件・未勝利
2025-12-21,阪神,5,メイクデビュー阪神,2歳新馬,,1800,芝,重,雨,ラパンドール,松山弘平,牡2,56.0,12,2,4.4,4,1:48.8,33.5,0.2,450,初出走,1100000,,藤原英昭,Tapit,中央,条件・未勝利
2025-12-21,阪神,5,メイクデビュー阪神,2歳新馬,,1800,芝,重,雨,ジーティーアリア,北村友一,牝2,55.0,12,7,15.4,7,1:49.0,34.3,0.4,458,初出走,0,,田中克典,Siyouni,中央,条件・未勝利
2025-12-27,中山,11,ホープフルS,2歳OP,GI,2000,芝,良,曇,バドリナート,坂井瑠星,牡2,56.0,16,5,6.4,5,2:01.4,35.2,0.4,492,4,7000000,110,松永幹夫,Galileo,中央,重賞
2025-12-27,中山,11,ホープフルS,2歳OP,GI,2000,芝,良,曇,ジーネキング,斎藤新,牡2,56.0,16,11,55.0,12,2:02.1,36.1,1.1,490,12,0,102,斎藤誠,Into Mischief,中央,重賞
2025-12-27,阪神,5,メイクデビュー阪神,2歳新馬,,2000,芝,良,晴,ダノンミッドナイト,C.デムーロ,牡2,56.0,14,1,3.2,4,2:03.2,34.4,0.6,492,初出走,1100000,,中内田充正,キンシャサノキセキ,中央,条件・未勝利
2025-12-27,阪神,5,メイクデビュー阪神,2歳新馬,,2000,芝,良,晴,レッドレグルス,団野大成,牡2,56.0,14,9,40.2,5,2:03.3,34.2,0.7,470,初出走,750000,,杉山晴紀,ゼンノロブロイ,中央,条件・未勝利
2025-12-28,中山,6,メイクデビュー中山,2歳新馬,,2000,芝,良,晴,コンジェスタス,C.デムーロ,牡2,56.0,18,4,8.3,1,2:03.6,35.3,-0.1,530,初出走,7500000,,高野友和,Alamosa,中央,条件・未勝利
2025-12-28,阪神,3,2歳未勝利,2歳未勝利,,1800,芝,良,晴,エースフライト,岩田望来,牡2,56.0,18,2,4.3,9,1:47.4,36.1,1.2,514,2,0,,池江泰寿,Bellamy Road,中央,条件・未勝利
2026-01-04,中山,6,メイクデビュー中山,3歳新馬,,2000,芝,良,晴,ルシアージュ,内田博幸,牝3,55.0,17,8,18.1,6,2:04.3,35.3,0.3,436,初出走,0,,高柳瑞樹,エイシンフラッシュ,中央,条件・未勝利
2026-01-04,中山,6,メイクデビュー中山,3歳新馬,,2000,芝,良,晴,アルタティール,長浜鴻緒,牡3,55.0,17,16,84.2,15,2:06.5,36.4,2.5,432,初出走,0,,手塚貴久,Poet's Voice,中央,条件・未勝利
2026-01-04,京都,3,3歳未勝利,3歳未勝利,,1400,ダート,良,晴,ムスクレスト,武豊,牡3,57.0,16,7,13.0,6,1:27.1,37.4,0.5,466,6,0,,安田翔伍,Temple City,中央,条件・未勝利
2026-01-04,京都,6,3歳1勝クラス,3歳1勝,,2000,芝,良,曇,ウィズクィーン,坂井瑠星,牝3,55.0,7,6,12.4,3,2:01.2,34.8,0.3,440,16,2100000,,上村洋行,ロードカナロア,中央,条件・未勝利
2026-01-04,京都,6,3歳1勝クラス,3歳1勝,,2000,芝,良,曇,ヴァロンブローサ,T.ハマーハンセン,牡3,57.0,7,3,4.8,7,2:01.9,34.8,1.0,460,2,0,,池添学,Galileo,中央,条件・未勝利
2026-01-05,中山,6,3歳未勝利,3歳未勝利,,2000,芝,良,晴,クオンタムスター,佐々木大輔,牡3,57.0,18,6,18.7,4,2:01.6,35.6,0.5,484,-4,890000,,堀宣行,Mastercraftsman,中央,条件・未勝利
2026-01-05,中山,7,3歳1勝クラス,3歳1勝,,2000,芝,良,晴,アンソニー,津村明秀,牡3,57.0,10,4,5.8,5,2:01.6,35.9,0.5,504,2,820000,,武幸四郎,ヨハネスブルグ,中央,条件・未勝利
2026-01-05,京都,2,3歳未勝利,3歳未勝利,,1900,ダート,良,晴,トゥレネヴェリテ,柴田裕一郎,牡3,55.0,16,7,28.6,13,2:03.9,40.0,3.0,464,12,0,,中竹和也,Cozzene,中央,条件・未勝利
2026-01-05,京都,4,3歳1勝クラス,3歳1勝,,1800,ダート,良,晴,スカイストライプス,川田将雅,牡3,57.0,11,1,2.2,4,1:53.2,37.0,0.8,498,4,1200000,,安田翔伍,Equal Stripes,中央,条件・未勝利
2026-01-05,京都,5,3歳未勝利,3歳未勝利,,2000,芝,良,晴,ノートルダム,古川奈穂,牝3,52.0,17,10,65.8,14,2:03.6,36.0,1.3,442,0,0,,矢作芳人,Sea The Stars,中央,条件・未勝利
2026-01-05,京都,6,3歳未勝利,3歳未勝利,,1600,芝,良,晴,エアヴァイブス,高杉吏麒,牝3,55.0,14,6,17.5,2,1:35.5,35.3,0.2,428,-18,2400000,,福永祐一,ハービンジャー,中央,条件・未勝利
2026-01-05,京都,6,3歳未勝利,3歳未勝利,,1600,芝,良,晴,ジーティーアリア,北村友一,牝3,55.0,14,5,13.8,8,1:36.0,35.7,0.7,456,-2,0,,田中克典,Siyouni,中央,条件・未勝利
2026-01-10,中山,5,メイクデビュー中山,3歳新馬,,2000,芝,良,晴,ランザワールド,戸崎圭太,牝3,55.0,15,3,6.1,1,2:02.2,34.7,-0.1,496,初出走,6500000,,宮田敬介,Custom for Carlos,中央,条件・未勝利
2026-01-10,京都,5,3歳未勝利,3歳未勝利牝,,1600,芝,良,晴,アオイハルカ,藤岡佑介,牝3,55.0,18,8,31.4,6,1:35.8,35.7,0.6,436,-12,0,,大久保龍志,キングカメハメハ,中央,条件・未勝利
2026-01-10,京都,6,3歳未勝利,3歳未勝利,,2400,芝,良,晴,レッドラージャ,岩田望来,牡3,57.0,18,1,4.3,3,2:27.6,36.0,0.4,516,2,1500000,,友道康夫,Giant's Causeway,中央,条件・未勝利
2026-01-10,京都,6,3歳未勝利,3歳未勝利,,2400,芝,良,晴,ボンボンベイビー,西村淳也,牡3,57.0,18,7,15.7,8,2:28.4,36.8,1.2,454,-2,0,,矢作芳人,Galileo,中央,条件・未勝利
2026-01-11,中山,6,3歳未勝利,3歳未勝利,,2200,芝,良,晴,ジングアップ,佐々木大輔,牡3,57.0,17,7,29.4,6,2:14.5,36.3,0.7,446,6,0,,大竹正博,Storm Cat,中央,条件・未勝利
2026-01-11,京都,1,3歳未勝利,3歳未勝利,,1800,ダート,良,晴,マリノエステーラ,橋木太希,牝3,52.0,16,16,254.1,11,1:57.6,39.4,2.7,440,0,0,,中竹和也,First Samurai,中央,条件・未勝利
2026-01-11,京都,12,3歳未勝利,3歳未勝利,,1800,芝,良,晴,レッドレグルス,川田将雅,牡3,57.0,18,5,10.1,8,1:50.2,35.3,1.0,476,6,0,,杉山晴紀,ゼンノロブロイ,中央,条件・未勝利
2026-01-12,中山,8,3歳1勝クラス,3歳1勝,,1200,芝,良,晴,シャルトル,三浦皇成,牡3,57.0,11,4,9.4,4,1:08.5,33.6,0.3,450,0,1010000,,栗田徹,Uncle Mo,中央,条件・未勝利
2026-01-17,京都,10,紅梅S,3歳OP,L,1400,芝,良,晴,スウィッチインラヴ,坂井瑠星,牝3,55.0,9,5,12.2,9,1:23.4,36.1,2.7,446,前計不,0,,矢作芳人,Galileo,中央,リステッド
2026-01-17,京都,5,3歳未勝利,3歳未勝利牝,,2000,芝,良,晴,アグレイビューティ,岩田康誠,牝3,55.0,18,6,13.6,7,2:01.5,36.6,0.4,466,-4,0,,上村洋行,Mastercraftsman,中央,条件・未勝利
2026-01-17,京都,5,3歳未勝利,3歳未勝利牝,,2000,芝,良,晴,メイワメジェール,吉村誠之助,牝3,55.0,18,9,92.5,16,2:04.0,39.2,2.9,470,4,0,,茶木太樹,Oflee Wild,中央,条件・未勝利
2026-01-18,中山,11,京成杯,3歳OP,GIII,2000,芝,良,晴,ジーネキング,斎藤新,牡3,57.0,15,7,27.3,10,1:59.9,35.3,0.6,492,2,0,,斎藤誠,Into Mischief,中央,重賞
2026-01-18,中山,12,3歳未勝利,3歳未勝利牝,,1600,芝,良,晴,サンセリテ,戸崎圭太,牝3,55.0,16,2,4.4,9,1:35.1,35.4,0.9,442,2,0,,鹿戸雄一,Street Sense,中央,条件・未勝利
2026-01-18,中山,2,3歳未勝利,3歳未勝利牝,,1800,ダート,良,晴,ゲンパチミスティ,水沼元輝,牝3,52.0,16,15,192.6,11,2:00.0,42.4,2.6,466,-8,0,,西田雄一郎,Into Mischief,中央,条件・未勝利
2026-01-18,京都,5,メイクデビュー京都,3歳新馬,,2000,芝,良,晴,ロードスタニング,川田将雅,牡3,57.0,17,1,2.1,2,2:03.7,35.2,0.2,508,初出走,2600000,,杉山晴紀,キングカメハメハ,中央,条件・未勝利
2026-01-18,京都,5,メイクデビュー京都,3歳新馬,,2000,芝,良,晴,ラピス,横山典弘,牝3,55.0,17,8,33.9,7,2:04.4,35.4,0.9,472,初出走,0,,安田翔伍,Frankel,中央,条件・未勝利
2026-01-18,京都,5,メイクデビュー京都,3歳新馬,,2000,芝,良,晴,ラルクアンレーヴ,武豊,牡3,57.0,17,4,6.5,10,2:04.7,35.9,1.2,422,初出走,0,,清水久詞,サクラバクシンオー,中央,条件・未勝利
2026-01-18,京都,5,メイクデビュー京都,3歳新馬,,2000,芝,良,晴,ベルドゥニュイ,坂井瑠星,牝3,55.0,17,11,81.3,16,2:05.6,36.5,2.1,454,初出走,0,,矢作芳人,キンシャサノキセキ,中央,条件・未勝利
2026-01-24,京都,5,3歳未勝利,3歳未勝利,,2200,芝,良,晴,パウンドフォーワン,横山武史,牡3,57.0,18,5,15.8,4,2:16.1,34.9,0.6,486,-4,890000,,田中克典,Invincible Spirit,中央,条件・未勝利
2026-01-24,京都,5,3歳未勝利,3歳未勝利,,2200,芝,良,晴,ドンテスタマスター,坂井瑠星,牡3,57.0,18,3,5.1,5,2:16.3,34.9,0.8,528,4,590000,,杉山晴紀,Intikhab,中央,条件・未勝利
2026-01-24,京都,5,3歳未勝利,3歳未勝利,,2200,芝,良,晴,トゥレネヴェリテ,中井裕二,牡3,57.0,18,13,124.7,13,2:18.1,36.3,2.6,458,-6,0,,中竹和也,Cozzene,中央,条件・未勝利
2026-01-24,京都,9,若駒S,3歳OP,L,2000,芝,良,晴,ウィズクィーン,武豊,牝3,55.0,13,7,17.4,9,2:02.6,36.1,1.4,432,-8,0,,上村洋行,ロードカナロア,中央,リステッド
2026-01-24,小倉,2,3歳未勝利,3歳未勝利,,1800,芝,良,晴,ポッドリプル,菱田裕二,牡3,57.0,16,7,41.0,4,1:46.5,34.3,0.4,462,-10,890000,,辻野泰之,Charm Spirit,中央,条件・未勝利
2026-01-24,小倉,2,3歳未勝利,3歳未勝利,,1800,芝,良,晴,ヒメヒオウギ,柴田裕一郎,牝3,53.0,16,10,84.2,8,1:47.7,34.9,1.6,402,-8,0,,中竹和也,ステイゴールド,中央,条件・未勝利
2026-01-25,中山,12,3歳未勝利,3歳未勝利,,1600,芝,良,晴,フロンテアムーン,上里直汰,牝3,52.0,16,9,77.0,4,1:35.1,36.7,1.8,400,-12,890000,,国枝栄,メイショウサムソン,中央,条件・未勝利
2026-01-25,中山,2,3歳未勝利,3歳未勝利牝,,1800,ダート,良,晴,ゲンパチミスティ,遠藤汰月,牝3,52.0,14,14,442.1,9,2:00.8,42.6,2.9,466,0,0,,西田雄一郎,Into Mischief,中央,条件・未勝利
2026-01-25,京都,2,3歳未勝利,3歳未勝利,,1900,ダート,良,晴,ボンボンベイビー,高杉吏麒,牡3,57.0,16,7,20.0,9,2:03.5,38.8,1.1,450,-4,0,,矢作芳人,Galileo,中央,条件・未勝利
2026-01-25,京都,5,メイクデビュー京都,3歳新馬,,1600,芝,良,晴,メメボス,菱田裕二,牝3,55.0,18,15,77.6,3,1:36.1,35.2,0.2,472,初出走,1600000,,飯田祐史,ノヴェリスト,中央,条件・未勝利
2026-01-25,京都,9,河津桜賞,3歳1勝,,1600,芝,良,晴,ジーティーメティオ,坂井瑠星,牝3,55.0,9,5,12.4,9,1:35.2,37.1,1.5,472,12,0,,矢作芳人,Montjeu,中央,条件・未勝利
2026-01-25,小倉,2,3歳未勝利,3歳未勝利,,1200,芝,良,晴,ゴッドレイ,松若風馬,牝3,55.0,18,1,3.2,17,1:10.0,35.5,2.0,400,-4,0,,杉山晴紀,ダイワメジャー,中央,条件・未勝利
2026-01-27,姫路,5,養久7ハロン3歳C1,3歳C1,,1400,ダート,良,曇,アスピラシオン,山本咲希到,牡3,56.0,12,2,4.1,1,1:34.9,39.8,-0.1,505,15,800000,,森澤友貴,Van Nistelrooy,地方,条件・未勝利
2026-01-31,京都,3,3歳未勝利,3歳未勝利,,1400,ダート,良,晴,レヴァンターセ,団野大成,牡3,57.0,13,7,36.5,7,1:27.2,38.1,1.5,468,初出走,0,,田中克典,ヴィクトワールピサ,中央,条件・未勝利
2026-01-31,京都,4,3歳未勝利,3歳未勝利,,1800,ダート,良,晴,ベルドゥニュイ,菱田裕二,牝3,55.0,11,10,247.6,7,1:57.2,39.3,1.1,448,-6,0,,矢作芳人,キンシャサノキセキ,中央,条件・未勝利
2026-01-31,京都,5,メイクデビュー京都,3歳新馬,,2000,芝,良,晴,ココロヅヨサ,菱田裕二,牡3,57.0,15,8,22.4,11,2:04.8,35.6,1.4,460,初出走,0,,田中克典,Bodemeister,中央,条件・未勝利
2026-01-31,京都,6,3歳未勝利,3歳未勝利,,1600,芝,良,晴,アオイハルカ,池添謙一,牝3,55.0,16,5,10.7,12,1:36.5,36.5,1.4,430,-6,0,,大久保龍志,キングカメハメハ,中央,条件・未勝利
2026-01-31,小倉,2,3歳未勝利,3歳未勝利牝,,2000,芝,良,晴,スピーチバルーン,川又賢治,牝3,55.0,18,16,429.2,9,2:00.9,35.1,1.1,424,0,0,,吉村圭司,Mr Speaker,中央,条件・未勝利
2026-01-31,東京,5,メイクデビュー東京,3歳新馬,,1800,芝,良,晴,ウイルソン,松山弘平,牡3,57.0,16,2,3.8,2,1:48.6,33.7,0.4,484,初出走,2600000,,杉山晴紀,キングカメハメハ,中央,条件・未勝利
2026-02-01,京都,1,3歳未勝利,3歳未勝利牝,,1800,ダート,良,晴,グラシアムヘール,高杉吏麒,牝3,55.0,13,3,6.5,1,1:55.9,37.0,-0.1,492,-2,5900000,,藤原英昭,Quality Road,中央,条件・未勝利
2026-02-01,京都,1,3歳未勝利,3歳未勝利牝,,1800,ダート,良,晴,マリノエステーラ,酒井学,牝3,55.0,13,12,340.3,6,1:57.5,38.6,1.6,436,-2,0,,中竹和也,First Samurai,中央,条件・未勝利
2026-02-01,京都,5,3歳未勝利,3歳未勝利,,2000,芝,良,晴,フウセン,武豊,牡3,57.0,13,3,4.2,3,2:02.9,34.8,0.8,462,0,1500000,,杉山晴紀,Afleet Alex,中央,条件・未勝利
2026-02-01,小倉,5,メイクデビュー小倉,3歳新馬,,1200,芝,良,曇,ブライトエンジェル,角田大和,牝3,55.0,18,4,10.0,3,1:09.1,34.4,0.5,452,初出走,1600000,,角田晃一,ロードカナロア,中央,条件・未勝利
2026-02-01,小倉,6,3歳未勝利,3歳未勝利,,2000,芝,良,曇,レッドラージャ,西塚洸二,牡3,56.0,18,2,5.4,5,2:00.4,35.5,0.3,508,-8,590000,,友道康夫,Giant's Causeway,中央,条件・未勝利
2026-02-01,東京,12,3歳未勝利,3歳未勝利,,1800,芝,良,晴,スカイドリーマー,三浦皇成,牝3,55.0,16,7,21.2,6,1:47.8,34.6,1.0,436,-6,0,,木村哲也,Giant's Causeway,中央,条件・未勝利
2026-02-01,東京,2,3歳未勝利,3歳未勝利,,2100,ダート,良,晴,ルージュアリスタ,松山弘平,牝3,55.0,13,3,5.2,4,2:16.9,40.6,2.2,496,2,890000,,宮田敬介,Afleet Alex,中央,条件・未勝利
2026-02-01,東京,3,3歳未勝利,3歳未勝利,,1600,ダート,良,晴,ボーントゥラブユー,坂井瑠星,牝3,55.0,16,4,6.9,15,1:42.0,40.6,3.0,480,10,0,,小笠倫弘,Street Cry,中央,条件・未勝利
2026-02-07,京都,3,3歳未勝利,3歳未勝利,,1400,ダート,良,曇,ポッドリプル,松山弘平,牡3,57.0,14,2,3.4,3,1:26.3,37.0,0.3,470,8,1500000,,辻野泰之,Charm Spirit,中央,条件・未勝利
2026-02-07,京都,5,3歳未勝利,3歳未勝利牝,,1600,芝,良,曇,オーロラボレアリス,幸英明,牝3,55.0,14,10,15.4,2,1:35.2,35.0,0.0,468,-4,2400000,,吉岡辰弥,To Honor and Serve,中央,条件・未勝利
2026-02-07,東京,5,メイクデビュー東京,3歳新馬,,1800,芝,良,小雪,カットソロ,横山武史,牡3,57.0,16,2,3.4,2,1:49.6,34.3,0.1,520,初出走,2600000,,矢作芳人,キングヘイロー,中央,条件・未勝利
2026-02-07,東京,6,3歳未勝利,3歳未勝利,,1600,芝,良,雪,ジュラトリー,R.キング,牡3,55.0,16,5,6.9,5,1:35.1,34.6,0.2,462,-8,590000,,池上昌和,Lope de Vega,中央,条件・未勝利
