日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-08-17,札幌,5,メイクデビュー札幌,2歳新馬,,1800,芝,稍重,雨,ジーティーメティオ,藤岡佑介,牝2,55.0,5,1,1.9,2,1:52.6,35.1,0.0,460,初出走,3000000,,矢作芳人,Montjeu,中央,条件・未勝利
2025-08-23,中京,5,メイクデビュー中京,2歳新馬,,1400,芝,良,曇,ゴッドアイ,松山弘平,牝2,55.0,10,1,2.1,2,1:22.5,35.1,0.2,430,初出走,3000000,,橋口慎介,アドマイヤムーン,中央,条件・未勝利
2025-08-24,中京,3,2歳未勝利,2歳未勝利,,1600,芝,良,晴,ビッグヒーロー,川田将雅,牡2,55.0,8,1,2.4,2,1:33.8,34.5,0.4,480,4,1900000,,福永祐一,Tale of Ekati,中央,条件・未勝利
2025-08-24,中京,3,2歳未勝利,2歳未勝利,,1600,芝,良,晴,オーロラボレアリス,高杉吏麒,牝2,54.0,8,6,9.4,5,1:34.3,35.3,0.9,458,0,560000,,吉岡辰弥,To Honor and Serve,中央,条件・未勝利
2025-08-24,新潟,6,メイクデビュー新潟,2歳新馬,,1600,芝,良,晴,ジュラトリー,津村明秀,牝2,55.0,14,3,5.2,3,1:35.7,34.0,0.8,460,初出走,1900000,,池上昌和,Lope de Vega,中央,条件・未勝利
2025-08-24,札幌,5,メイクデビュー札幌,2歳新馬,,2000,芝,良,晴,エーデルゼーレ,K.ティータン,牡2,55.0,11,5,9.4,4,2:05.4,35.9,0.9,466,初出走,1100000,,堀宣行,Curlin,中央,条件・未勝利
2025-08-31,中京,5,メイクデビュー中京,2歳新馬,,2000,芝,良,晴,レッドラージャ,岩田望来,牡2,55.0,7,1,1.9,5,2:05.2,34.4,0.5,506,初出走,750000,,友道康夫,Giant's Causeway,中央,条件・未勝利
2025-08-31,札幌,5,メイクデビュー札幌,2歳新馬,,1800,芝,稍重,曇,ネッタイヤライ,古川奈穂,牡2,52.0,8,1,1.8,2,1:51.8,35.2,0.2,438,初出走,3000000,,矢作芳人,キンシャサノキセキ,中央,条件・未勝利
2025-09-06,札幌,11,札幌2歳S,2歳OP,GIII,1800,芝,良,曇,ジーネキング,斎藤新,牡2,55.0,12,10,31.1,2,1:50.6,36.1,0.0,478,4,12122000,107,斎藤誠,Into Mischief,中央,重賞
2025-09-06,阪神,2,2歳未勝利,2歳未勝利,,2000,芝,良,晴,バドリナート,坂井瑠星,牡2,55.0,5,1,1.4,1,2:00.9,35.1,-0.7,490,-4,5600000,,松永幹夫,Galileo,中央,条件・未勝利
2025-09-13,中山,5,メイクデビュー中山,2歳新馬牝,,1600,芝,稍重,曇,サンセリテ,戸崎圭太,牝2,55.0,16,1,2.1,2,1:36.0,34.0,0.0,438,初出走,3000000,,鹿戸雄一,Street Sence,中央,条件・未勝利
2025-09-13,中山,5,メイクデビュー中山,2歳新馬牝,,1600,芝,稍重,曇,アリアス,横山武史,牝2,55.0,16,7,18.9,10,1:37.4,35.6,1.4,416,初出走,0,,高柳瑞樹,シンボリクリスエス,中央,条件・未勝利
2025-09-15,阪神,2,2歳未勝利,2歳未勝利牝,,1600,芝,良,晴,ウィズクィーン,松山弘平,牝2,55.0,8,1,2.3,6,1:36.1,33.7,0.7,426,-2,0,,上村洋行,ロードカナロア,中央,条件・未勝利
2025-09-20,阪神,1,2歳未勝利,2歳未勝利,,1800,ダート,良,曇,レッドラージャ,岩田望来,牡2,55.0,10,3,4.0,6,1:56.2,40.7,0.9,506,0,0,,友道康夫,Giant's Causeway,中央,条件・未勝利
