ts,script,host,path,status,dur_s,retries,note
2026-08-31 14:17:37,fetch_pedigree.py,www.jbis.or.jp,/horse/0001374014/pedigree/,200,0.41,1,
2026-08-31 14:17:38,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.26,1,
2026-08-31 14:17:39,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375142/pedigree/,200,0.38,1,
2026-08-31 14:17:39,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.25,1,
2026-08-31 14:17:41,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.24,1,
2026-08-31 14:17:41,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375337/pedigree/,200,0.35,1,
2026-08-31 14:17:42,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:17:44,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375127/pedigree/,200,0.36,1,
2026-08-31 14:17:44,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.2,1,
2026-08-31 14:17:45,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.16,1,
2026-08-31 14:17:46,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375401/pedigree/,200,0.4,1,
2026-08-31 14:17:47,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.17,1,
2026-08-31 14:17:47,fetch_pedigree.py,www.jbis.or.jp,/horse/0001370890/pedigree/,200,0.35,1,
2026-08-31 14:17:48,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:17:50,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:17:50,fetch_pedigree.py,www.jbis.or.jp,/horse/0001369548/pedigree/,200,1.18,1,
2026-08-31 14:17:51,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:17:52,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375430/pedigree/,200,0.35,1,
2026-08-31 14:17:52,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:17:54,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375348/pedigree/,200,0.41,1,
2026-08-31 14:17:54,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:17:56,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:17:56,fetch_pedigree.py,www.jbis.or.jp,/horse/0001374116/pedigree/,200,0.37,1,
2026-08-31 14:17:57,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:17:58,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378332/pedigree/,200,1.01,1,
2026-08-31 14:17:59,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:18:00,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.25,1,
2026-08-31 14:18:00,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375192/pedigree/,200,0.38,1,
2026-08-31 14:18:02,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.33,1,
2026-08-31 14:18:02,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375332/pedigree/,200,0.44,1,
2026-08-31 14:18:03,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.26,1,
2026-08-31 14:18:04,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375506/pedigree/,200,0.35,1,
2026-08-31 14:18:05,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:18:06,fetch_pedigree.py,www.jbis.or.jp,/horse/0001371627/pedigree/,200,0.38,1,
2026-08-31 14:18:06,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.24,1,
2026-08-31 14:18:07,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:18:07,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378244/pedigree/,200,0.35,1,
2026-08-31 14:18:09,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.26,1,
2026-08-31 14:18:09,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375231/pedigree/,200,0.35,1,
2026-08-31 14:18:10,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:18:11,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.25,1,
2026-08-31 14:18:11,fetch_pedigree.py,www.jbis.or.jp,/horse/0001367115/pedigree/,200,0.32,1,
2026-08-31 14:18:13,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:18:13,fetch_pedigree.py,www.jbis.or.jp,/horse/0001374789/pedigree/,200,0.35,1,
2026-08-31 14:18:14,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:18:15,fetch_pedigree.py,www.jbis.or.jp,/horse/0001373080/pedigree/,200,0.34,1,
2026-08-31 14:18:16,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:18:17,fetch_pedigree.py,www.jbis.or.jp,/horse/0001374776/pedigree/,200,0.36,1,
2026-08-31 14:18:17,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:18:19,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375500/pedigree/,200,0.75,1,
2026-08-31 14:18:19,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:18:20,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.2,1,
2026-08-31 14:18:21,fetch_pedigree.py,www.jbis.or.jp,/horse/0001374672/pedigree/,200,0.37,1,
2026-08-31 14:18:22,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:18:22,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378273/pedigree/,200,0.35,1,
2026-08-31 14:18:24,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.2,1,
2026-08-31 14:18:25,fetch_pedigree.py,www.jbis.or.jp,/horse/0001369929/pedigree/,200,0.36,1,
2026-08-31 14:18:25,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:18:26,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378330/pedigree/,200,0.35,1,
2026-08-31 14:18:26,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:18:28,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:18:28,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378333/pedigree/,200,0.36,1,
2026-08-31 14:18:29,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.2,1,
2026-08-31 14:18:30,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375477/pedigree/,200,0.51,1,
2026-08-31 14:18:31,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.2,1,
2026-08-31 14:18:32,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.2,1,
2026-08-31 14:18:32,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378275/pedigree/,200,0.36,1,
2026-08-31 14:18:34,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.2,1,
2026-08-31 14:18:34,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378223/pedigree/,200,0.42,1,
2026-08-31 14:18:35,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:18:36,fetch_pedigree.py,www.jbis.or.jp,/horse/0001369279/pedigree/,200,0.43,1,
2026-08-31 14:18:36,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:18:38,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378328/pedigree/,200,0.37,1,
2026-08-31 14:18:38,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:18:39,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.2,1,
2026-08-31 14:18:40,fetch_pedigree.py,www.jbis.or.jp,/horse/0001373189/pedigree/,200,0.5,1,
2026-08-31 14:18:41,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.19,1,
2026-08-31 14:18:42,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378335/pedigree/,200,0.38,1,
2026-08-31 14:18:42,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:18:44,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375579/pedigree/,200,0.35,1,
2026-08-31 14:18:44,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:18:45,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.24,1,
2026-08-31 14:18:46,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375344/pedigree/,200,0.36,1,
2026-08-31 14:18:47,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:18:48,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375379/pedigree/,200,0.36,1,
2026-08-31 14:18:48,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:18:49,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:18:49,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375444/pedigree/,200,0.35,1,
2026-08-31 14:18:51,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:18:51,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378331/pedigree/,200,0.36,1,
2026-08-31 14:18:52,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.24,1,
2026-08-31 14:18:53,fetch_pedigree.py,www.jbis.or.jp,/horse/0001373147/pedigree/,200,0.44,1,
2026-08-31 14:18:54,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.27,1,
2026-08-31 14:18:55,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:18:55,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375665/pedigree/,200,0.48,1,
2026-08-31 14:18:57,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:18:57,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375669/pedigree/,200,0.35,1,
2026-08-31 14:18:58,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:18:59,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378318/pedigree/,200,0.43,1,
2026-08-31 14:18:59,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:19:01,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375167/pedigree/,200,0.4,1,
2026-08-31 14:19:01,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.28,1,
2026-08-31 14:19:02,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.24,1,
2026-08-31 14:19:03,fetch_pedigree.py,www.jbis.or.jp,/horse/0001372593/pedigree/,200,0.36,1,
2026-08-31 14:19:04,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.25,1,
2026-08-31 14:19:05,fetch_pedigree.py,www.jbis.or.jp,/horse/0001374729/pedigree/,200,0.35,1,
2026-08-31 14:19:05,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:19:07,fetch_pedigree.py,www.jbis.or.jp,/horse/0001372881/pedigree/,200,0.37,1,
2026-08-31 14:19:07,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:19:09,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.22,1,
2026-08-31 14:19:09,fetch_pedigree.py,www.jbis.or.jp,/horse/0001369292/pedigree/,200,0.37,1,
2026-08-31 14:19:10,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.26,1,
2026-08-31 14:19:11,fetch_pedigree.py,www.jbis.or.jp,/horse/0001374023/pedigree/,200,0.34,1,
2026-08-31 14:19:12,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.26,1,
2026-08-31 14:19:12,fetch_pedigree.py,www.jbis.or.jp,/horse/0001378225/pedigree/,200,0.42,1,
2026-08-31 14:19:14,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.26,1,
2026-08-31 14:19:14,fetch_pedigree.py,www.jbis.or.jp,/horse/0001369939/pedigree/,200,0.37,1,
2026-08-31 14:19:15,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:19:16,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.24,1,
2026-08-31 14:19:16,fetch_pedigree.py,www.jbis.or.jp,/horse/0001373445/pedigree/,200,0.36,1,
2026-08-31 14:19:18,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:19:18,fetch_pedigree.py,www.jbis.or.jp,/horse/0001373174/pedigree/,200,0.42,1,
2026-08-31 14:19:19,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:19:20,fetch_pedigree.py,www.jbis.or.jp,/horse/0001372246/pedigree/,200,0.36,1,
2026-08-31 14:19:21,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:19:22,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.21,1,
2026-08-31 14:19:22,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375224/pedigree/,200,0.51,1,
2026-08-31 14:19:23,fetch_studbook.py,www.studbook.jp,/users/ja/Honba,200,0.23,1,
2026-08-31 14:19:24,fetch_pedigree.py,www.jbis.or.jp,/horse/0001375479/pedigree/,200,0.41,1,
